ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change
HSY,2026-02-17,2026-02-17,217.72613525390625,-0.0304466356902075,-0.1193983418483556,0.007616417611295459,0.00962073803532058,44903,0.00043585211380082773,-0.0008704931744145661
HSY,2025-02-18,2025-02-18,156.92642211914062,0.0267502112437076,-0.0314048654603654,0.007180565497494631,0.010491231209735146,44704,4.070829463868799e-05,5.7755668719650446e-05
HSY,2024-02-20,2024-02-20,180.8090057373047,0.0230408053538804,0.0822295524899408,0.007139857202855943,0.010433475541015496,45239,0.0003259859405336076,0.00029462242560116154
HSY,2023-02-17,2023-02-17,219.80430603027344,0.0103868110553939,0.1096196172257106,0.006813871262322336,0.010138853115414334,42707,-0.000251986152298554,0.00010624146580839183
HSY,2022-02-18,2022-02-18,181.7321014404297,0.0281850664085083,0.026121085693151,0.00706585741462089,0.010032611649605942,44156,-0.00028590126390048813,0.0004982996133985305
KMB,2026-02-12,2026-02-12,105.49018096923828,-0.0624572885905923,-0.0960277964351716,0.011321560808886357,0.008188550270578182,42132,-0.00021301485343964283,-0.001998921664760839
KMB,2025-02-13,2025-02-13,126.7091827392578,0.0428410938181336,0.0237595967154677,0.011534575662326,0.010187471935339022,35632,0.0003112960348926018,0.001336122538445672
KMB,2024-02-08,2024-02-08,108.61214447021484,0.0645338079606709,0.1474931425664114,0.011223279627433398,0.00885134939689335,34571,-1.373940605670608e-05,-0.00023927274255932003
KMB,2023-02-09,2023-02-09,111.56647491455078,-0.031076626583669,0.1310927584384338,0.011237019033490104,0.00909062213945267,31681,-0.00034391282753871294,-0.00020105574904719613
KMB,2022-02-10,2022-02-10,109.9368133544922,-0.0821384964702098,0.0757443733145828,0.011580931861028817,0.009291677888499866,29704,0.00012685199390998457,0.00022530651331819154
KMB,2021-02-11,2021-02-11,107.18873596191406,0.0253074107854247,0.0214887537882286,0.011454079867118832,0.009066371375181674,28898,7.174915705703e-05,0.0013744057000227216
KMB,2020-02-13,2020-02-13,114.04539489746094,-0.0625305806909454,-0.0494471626537531,0.011382330710061802,0.0076919656751589524,22491,5.654789860277433e-05,-0.003411742963526368
KMB,2019-02-07,2019-02-07,86.5573501586914,0.0465973189649053,0.1250097287453906,0.011325782811459028,0.01110370863868532,22515,-0.0006981715255859802,0.00034297129424815283
PEP,2026-02-03,2026-02-03,159.7274627685547,-0.0132024582965502,-0.0394527115708701,0.012721186035389766,0.008378766140602583,52275,-0.0004272322763680964,-0.00020833289727298712
PEP,2025-02-04,2025-02-04,135.33065795898438,0.0774968626783312,-0.0808004370263714,0.013148418311757863,0.00858709903787557,54151,-0.0008553654920778753,-0.0009466027835437277
PEP,2024-02-09,2024-02-09,153.22886657714844,-0.0111789406241202,0.080467579837377,0.014003783803835738,0.009533701821419297,53914,0.0013281050231517873,-0.0005762051214827056
PEP,2023-02-09,2023-02-09,153.4923858642578,0.0121765212350748,0.1382107282660571,0.01267567878068395,0.010109906942902003,52226,0.0022485008459379036,-0.0003370569082287618
PEP,2022-02-10,2022-02-10,145.6770782470703,-0.0680326461677915,0.0187133402806487,0.010427177934746047,0.010446963851130765,50541,0.00019055444563230266,0.0005253133924512897
PEP,2021-02-11,2021-02-11,113.46373748779295,-0.0065033974431948,0.0931224813690823,0.010236623489113745,0.009921650458679475,50798,-0.0007756515763470816,-0.0012577586296972816
PEP,2020-02-13,2020-02-13,119.64462280273438,-0.2226830531192968,-0.0852830559250505,0.011012275065460826,0.011179409088376757,53849,-0.0007620336785448874,-6.434154931327443e-05
PEP,2019-02-15,2019-02-15,91.95336151123048,0.0270689651310001,0.1350900239792354,0.011774308744005714,0.011243750637690031,49005,-0.00020341829200758686,-0.0009342728370525886
PEP,2018-02-13,2018-02-13,86.10356903076172,0.0060427439269301,-0.1304135554101019,0.0119777270360133,0.01217802347474262,49926,-0.0001458962312926998,-0.0006784613026768697
PEP,2017-02-15,2018-01-02,90.6490707397461,0.0189733582851738,-0.0598485635928967,0.012123623267306,0.01285648477741949,47758,-8.786963988939231e-06,0.0013028684287184362
PEP,2016-02-11,2018-01-02,90.6490707397461,0.0189733582851738,-0.0598485635928967,0.01213241023129494,0.011553616348701053,44921,-0.0009989258084392594,-0.0009880569327721956
