ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
LULU,2016-03-30,2018-01-02,79.69000244140625,-0.0110428517486812,0.1072906909326529,0.0086093386002228,0.0098922988622168,29619,0.0006190658887411,0.0001650103438913,
LULU,2015-03-26,2018-01-02,79.69000244140625,-0.0110428517486812,0.1072906909326529,0.0079902727114816,0.0097272885183255,28785,0.0002705577471111,-0.0009615475861875,
LULU,2014-03-27,2018-01-02,79.69000244140625,-0.0110428517486812,0.1072906909326529,0.0077197149643705,0.010688836104513,30312,0.0004320418389603,-0.0007089465086876,
MAR,2026-02-10,2026-02-10,357.95050048828125,-0.11807118945153,-0.0234960724925106,0.0111733572688724,0.0063449812745674,32309,3.845362861549032e-05,-0.000568447908669,0.14024135631376256
MAR,2025-02-11,2025-02-11,284.1049499511719,-0.1742326778165777,-0.0459949142552632,0.0111349036402569,0.0069134291832364,32690,0.0007354267277184,6.347433066617413e-05,0.09887697057184108
MAR,2024-02-13,2024-02-13,229.47755432128903,0.0578529575123842,0.0061120253611917,0.0103994769125385,0.0068499548525702,32117,-0.0008901315878725,-0.0007080743675928,0.26248388984390214
MAR,2023-02-14,2023-02-14,175.20846557617188,-0.1090158190813085,-0.0346979593749144,0.0112896085004111,0.0075580292201631,31622,-0.0004031972148314,0.0009441987797992,0.06731946262705435
MAR,2022-02-15,2022-02-15,174.06884765625,-0.0549668050985573,-0.0885024390380736,0.0116928057152425,0.0066138304403639,35834,-0.0003067045088299,0.0003446985681954,0.10052703187341439
MAR,2021-02-18,2021-02-18,126.78591918945312,0.1538112335934756,0.0564479033804379,0.0119995102240724,0.0062691318721684,40835,0.0015009638689524,-0.0016451569186143,0.06124742677486328
MAR,2020-02-27,2020-02-27,114.93155670166016,-0.3409395678221948,-0.2340354277119515,0.01049854635512,0.0079142887907828,37148,-6.301283588628151e-05,-0.0008507165172172,-0.12893168009116873
MAR,2019-03-01,2019-03-01,117.7729721069336,0.024105868473905,0.0069163571399375,0.0105615591910063,0.0087650053080001,36737,0.0013444350496771,-0.0003941494991069,0.047561338348107274
